[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G2 R1 Y1 B2 Y2 Y2 Y3 R2 G1 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B2 G3 1872
SECOND d6+ G1 Y3 0
FIRST e2+ G2 R1 7
SECOND d6- G1 G3 0
FIRST e6- Y1 Y3 8
SECOND f1- Y2 G4 0
FIRST d5+ R1 Y3 8
SECOND b4- R2 B3 0
FIRST e5+ R1 B1 8
SECOND b2- G4 R4 0
FIRST e5- B1 G1 9
SECOND a5+ B3 R1 0
FIRST d5- G1 G3 8
SECOND f4+ Y3 Y2 0
FIRST b4+ Y2 Y4 9
SECOND f3- Y3 B2 0
FIRST f2+ Y3 B2 8
SECOND a3- Y2 B2 0
FIRST b3+ B2 G1 8
SECOND a6+ R1 B4 0
FIRST e4+ G1 R4 8
SECOND f5+ R4 G4 0
FIRST f6- R4 G4 8
SECOND f2- B2 G3 0
FIRST a5- G3 R2 8
SECOND e3+ G3 R3 0
FIRST f1+ R2 R4 8
SECOND d4+ B2 R3 0
FIRST f5- Y4 B3 8
SECOND b5- R3 R4 0
FIRST e4- Y3 B4 8
SECOND c4+ G3 B4 0
FIRST c5- B3 G4 8
SECOND c6- R3 Y4 0
FIRST b5+ G3 Y1 8
SECOND d1+ G4 Y4 0
FIRST c5+ Y1 R2 8
SECOND b6- R4 G2 0
FIRST d3+ R2 R3 8
SECOND c1- B4 B1 0
FIRST c4- R3 G2 7
SECOND e1+ B1 Y1 0
FIRST d3- G2 R3 7
SECOND b3- G2 B1 0
FIRST a4+ R3 B4 7
SECOND b2+ Y4 Y1 0
FIRST b1+ R4 B1 7
SECOND a1+ B4 G2 0
FIRST b1- G4 B3 6
SECOND a3+ Y1 B3 0
FIRST e6+ B1 Y4 6
SECOND f4- B3 R1 0
FIRST a6- B3 Y2 5
SECOND e2- Y4 R2 0
FIRST a2- G4 X0 5
SECOND c3- R1 X0 0
FIRST a2+ B4 X0 4
SECOND d2+ Y1 X0 0
FIRST c2- B4 X0 4
SECOND e1- B1 X0 0
FIRST c1+ Y4 X0 3
SECOND b6+ R2 X0 0
FIRST d2- Y2 X0 3
SECOND c2+ G2 X0 0
FINISH
SCOREFIRST 394
SCORESECOND 98
